country,date_td,new_cases,new_deaths,first_dose,second_dose,apprvl_vaccine,days_apprvl
United Kingdom,18nov2020,19645,529,,,,
United Kingdom,19nov2020,22936,502,,,,
United Kingdom,20nov2020,20274,511,,,,
United Kingdom,21nov2020,19921,340,,,,
United Kingdom,22nov2020,18667,399,,,,
United Kingdom,23nov2020,15465,207,,,,
United Kingdom,24nov2020,11344,608,,,,
United Kingdom,25nov2020,18261,695,,,,
United Kingdom,26nov2020,17557,498,,,,
United Kingdom,27nov2020,14821,520,,,,
United Kingdom,28nov2020,15891,479,,,,
United Kingdom,29nov2020,12164,215,,,,
United Kingdom,30nov2020,12428,203,,,,
United Kingdom,01dec2020,13497,603,,,,
United Kingdom,02dec2020,16237,648,,,,
United Kingdom,03dec2020,14951,414,,,,
United Kingdom,04dec2020,16382,504,,,,
United Kingdom,05dec2020,15579,397,,,,
United Kingdom,06dec2020,17372,231,,,,
United Kingdom,07dec2020,14774,189,,,,
United Kingdom,08dec2020,12386,599,,,,
United Kingdom,09dec2020,16634,533,,,,
United Kingdom,10dec2020,21066,516,,,,
United Kingdom,11dec2020,21784,424,,,,
United Kingdom,12dec2020,21554,520,,,,
United Kingdom,13dec2020,18541,144,,,02dec2020,11
United Kingdom,14dec2020,20377,233,,,,
United Kingdom,15dec2020,18569,506,,,,
United Kingdom,16dec2020,25300,612,,,,
United Kingdom,17dec2020,35532,532,,,,
United Kingdom,18dec2020,28560,490,,,,
United Kingdom,19dec2020,27249,537,,,,
United Kingdom,20dec2020,36084,326,,,02dec2020,18
United Kingdom,21dec2020,33517,215,,,,
United Kingdom,22dec2020,36931,691,,,,
United Kingdom,23dec2020,39387,748,,,,
United Kingdom,24dec2020,39148,575,,,,
United Kingdom,25dec2020,32803,570,,,,
United Kingdom,26dec2020,34788,211,,,,
United Kingdom,27dec2020,32493,347,,,02dec2020,25
United Kingdom,28dec2020,41460,357,,,,
United Kingdom,29dec2020,53275,458,,,,
United Kingdom,30dec2020,50239,982,,,,
United Kingdom,31dec2020,56029,965,,,,
United Kingdom,01jan2021,53458,615,,,,
United Kingdom,02jan2021,57853,445,,,,
United Kingdom,03jan2021,55157,455,,,02dec2020,32
United Kingdom,04jan2021,58923,410,,,,
United Kingdom,05jan2021,61087,881,,,,
United Kingdom,06jan2021,62556,1042,,,,
United Kingdom,07jan2021,52787,1162,,,,
United Kingdom,08jan2021,68192,1333,,,,
United Kingdom,09jan2021,60098,1035,,,,
United Kingdom,10jan2021,55026,567,2308491,369480,02dec2020,39
United Kingdom,11jan2021,46275,529,2823047,20768,02dec2020,40
United Kingdom,12jan2021,45648,1246,3051476,16065,02dec2020,41
United Kingdom,13jan2021,47662,1568,3346484,9745,02dec2020,42
United Kingdom,14jan2021,48804,1253,3672923,5257,02dec2020,43
United Kingdom,15jan2021,55885,1285,4019497,4208,02dec2020,44
United Kingdom,16jan2021,41428,1299,4319836,2620,02dec2020,45
United Kingdom,17jan2021,38670,682,4512563,2239,02dec2020,46
United Kingdom,18jan2021,37610,602,4718878,4565,02dec2020,47
United Kingdom,19jan2021,33454,1612,5066606,3759,02dec2020,48
United Kingdom,20jan2021,38992,1826,5433873,3411,02dec2020,49
United Kingdom,21jan2021,37977,1296,5847139,2760,02dec2020,50
United Kingdom,22jan2021,40321,1401,6328147,1821,02dec2020,51
United Kingdom,23jan2021,33652,1352,6821938,1043,02dec2020,52
United Kingdom,24jan2021,30111,611,7043230,818,02dec2020,53
United Kingdom,25jan2021,22244,594,7323805,1968,02dec2020,54
United Kingdom,26jan2021,20167,1636,7636833,1710,02dec2020,55
United Kingdom,27jan2021,25369,1726,7950921,2329,02dec2020,56
United Kingdom,28jan2021,28811,1239,8367669,1769,02dec2020,57
United Kingdom,29jan2021,29145,1248,8857194,2178,02dec2020,58
United Kingdom,30jan2021,23400,1205,9457761,10621,02dec2020,59
United Kingdom,31jan2021,21190,590,9787420,3156,02dec2020,60
United Kingdom,01feb2021,18668,407,10140924,2587,02dec2020,61
United Kingdom,02feb2021,16906,1451,10518267,2166,02dec2020,62
United Kingdom,03feb2021,19215,1322,10989449,2995,02dec2020,63
United Kingdom,04feb2021,20734,915,11473004,4036,02dec2020,64
United Kingdom,05feb2021,19204,1015,11971203,4064,02dec2020,65
United Kingdom,06feb2021,18363,828,12525075,1662,02dec2020,66
United Kingdom,07feb2021,15904,376,12805725,862,02dec2020,67
United Kingdom,08feb2021,14138,333,13159067,3811,02dec2020,68
United Kingdom,09feb2021,12441,1052,13574690,3161,02dec2020,69
United Kingdom,10feb2021,13077,1002,14028661,4894,02dec2020,70
United Kingdom,11feb2021,13543,680,14536671,5647,02dec2020,71
United Kingdom,12feb2021,15198,759,15086921,4775,02dec2020,72
United Kingdom,13feb2021,13355,621,15597058,2846,02dec2020,73
United Kingdom,14feb2021,10991,259,15837866,1915,02dec2020,74
United Kingdom,15feb2021,9776,235,16115737,6535,02dec2020,75
United Kingdom,16feb2021,10636,799,16487137,12412,02dec2020,76
United Kingdom,17feb2021,12760,738,16981660,15147,02dec2020,77
United Kingdom,18feb2021,12095,455,17449260,15867,02dec2020,78
United Kingdom,19feb2021,12099,533,17837032,15294,02dec2020,79
United Kingdom,20feb2021,10453,446,18187006,10263,02dec2020,80
United Kingdom,21feb2021,9835,217,18338988,9177,02dec2020,81
United Kingdom,22feb2021,10659,178,,,,
United Kingdom,23feb2021,,,,,,
United Kingdom,24feb2021,,,,,,
United Kingdom,25feb2021,,,,,,
United Kingdom,26feb2021,,,,,,
United Kingdom,27feb2021,,,,,,
United Kingdom,28feb2021,,,,,,
United Kingdom,01mar2021,,,,,,
United Kingdom,02mar2021,,,,,,
United Kingdom,03mar2021,,,,,,
United Kingdom,04mar2021,,,,,,
United Kingdom,05mar2021,,,,,,
United Kingdom,06mar2021,,,,,,
United Kingdom,07mar2021,,,,,,
United Kingdom,08mar2021,,,,,,
